codi_barri,pes_atur
1,11.475
2,5.983333333333333
3,10.241666666666667
4,9.066666666666666
5,6.083333333333333
6,6.3
7,5.208333333333333
8,5.391666666666667
9,6.191666666666666
10,6.716666666666666
11,8.625
12,13.299999999999999
13,9.508333333333333
14,9.308333333333334
15,7.091666666666666
16,7.308333333333334
17,5.833333333333333
18,6.2749999999999995
19,6.7250000000000005
20,6.616666666666667
21,3.4166666666666665
22,3.4499999999999997
23,3.5666666666666664
24,4.25
25,4.05
26,3.9583333333333335
27,5.441666666666666
28,6.633333333333333
29,5.608333333333333
30,6.958333333333333
31,6.308333333333334
32,6.2749999999999995
33,6.675
34,6.791666666666667
35,7.216666666666666
36,9.241666666666667
37,8.708333333333334
38,7.25
39,7.675
40,8.016666666666667
41,7.691666666666666
42,3.875
43,8.783333333333333
44,8.908333333333333
45,7.808333333333334
46,8.525
47,8.933333333333334
48,11.183333333333332
49,12.341666666666667
50,9.683333333333334
51,9.783333333333333
52,9.491666666666667
53,14.058333333333332
54,10.108333333333333
55,14.441666666666668
56,13.458333333333334
57,13.799999999999999
58,7.133333333333333
59,7.833333333333333
60,7.916666666666667
61,7.366666666666667
62,6.925
63,7.1499999999999995
64,7.666666666666667
65,7.658333333333334
66,6.316666666666666
67,6.816666666666666
68,6.508333333333333
69,8.375
70,9.408333333333333
71,7.583333333333333
72,8.891666666666667
73,9.283333333333333
