codi_barri,trees_count
1.0,319
2.0,101
3.0,95
4.0,35
5.0,215
6.0,599
7.0,359
8.0,163
9.0,419
10.0,123
11.0,4555
12.0,196
13.0,1639
14.0,387
15.0,34
16.0,522
17.0,101
18.0,547
19.0,1352
20.0,1075
21.0,1374
22.0,147
23.0,434
24.0,357
25.0,357
26.0,392
27.0,353
28.0,750
29.0,92
30.0,225
31.0,189
32.0,33
33.0,308
34.0,449
35.0,386
36.0,76
37.0,508
38.0,372
39.0,572
40.0,1217
41.0,2111
42.0,115
43.0,1218
44.0,388
45.0,754
46.0,282
47.0,41
48.0,1188
49.0,456
50.0,340
51.0,228
52.0,667
53.0,1070
54.0,171
55.0,1022
56.0,199
57.0,1489
58.0,402
59.0,1251
60.0,1594
61.0,491
62.0,218
63.0,225
64.0,196
65.0,426
66.0,766
67.0,423
68.0,777
69.0,665
70.0,700
71.0,835
72.0,567
73.0,1329
