codi_barri,animal_per_population
1,1805.6618966723295
2,598.2220045967823
3,575.5022883981213
4,854.6138103327671
5,1229.329921870566
6,1993.2287697924746
7,1695.0328597642874
8,1625.5133652409147
9,2238.916100716975
10,1482.9789826147824
11,2000.9019240013924
12,57.09726374069633
13,1517.8480829055625
14,514.6246815893733
15,793.7169060156816
16,924.7458848361946
17,1194.1970139852026
18,2037.3682429258968
19,2148.0166580926484
20,1115.2551872810564
21,554.7281546262953
22,193.30509505086945
23,1034.925097617986
24,687.4600239147177
25,1071.0654716063393
26,1965.1432687500844
27,1225.601043060003
28,739.1406366297822
29,350.3937172298583
30,621.9002547180735
31,2398.094411088506
32,1622.97098033378
33,1204.5889769710882
34,422.71656862041755
35,1703.880192266303
36,443.227634694024
37,1478.4470729607576
38,531.7317060047349
39,317.09636631035227
40,238.2584295860535
41,268.1055671138532
42,27.48954372623574
43,1251.4579417461798
44,1384.7706877612172
45,1331.080151059169
46,834.0762445806548
47,122.58162980103609
48,816.6498924255916
49,375.83375691433696
50,835.9220264288546
51,66.55672193802934
52,1420.5462829954436
53,393.96584918782946
54,151.5169746566394
55,545.1028099345453
56,73.39697231665227
57,586.0613121654751
58,146.4569088515596
59,735.4391805074926
60,3311.374935952514
61,1682.2389897445196
62,820.4391016798178
63,128.9895710986213
64,1838.6009433827826
65,1297.8870505750076
66,715.9657988115086
67,450.4340700839354
68,1620.5976087669046
69,646.4344120958203
70,1097.5440126544397
71,982.84858848845
72,125.50391176093369
73,1382.1836033802174
