codi_barri,densitat_neta
1,948.2
2,457.2
3,1113.2
4,688.7
5,947.7
6,1001.9
7,383.2
8,625.2
9,882.8
10,923.7
11,1038.6
12,31.8
13,773.9
14,903.0
15,709.6
16,896.6
17,951.3
18,734.1
19,703.7
20,730.5
21,144.1
22,51.8
23,258.2
24,386.9
25,312.7
26,492.7
27,551.9
28,332.6
29,595.9
30,683.6
31,606.1
32,888.5
33,1076.6
34,625.1
35,693.0
36,238.1
37,795.1
38,598.6
39,371.7
40,440.9
41,731.5
42,95.2
43,418.8
44,879.7
45,697.3
46,1143.9
47,372.7
48,674.0
49,622.1
50,845.7
51,859.1
52,957.2
53,577.4
54,131.7
55,663.0
56,199.1
57,790.3
58,641.0
59,704.0
60,738.1
61,728.2
62,729.6
63,981.4
64,886.8
65,1139.0
66,745.3
67,386.1
68,789.1
69,581.9
70,887.8
71,1510.9
72,1148.6
73,714.3
